16:59:12.114 ForkJoinPool.commonPool-worker-2 subscriber.subscribe: java.util.concurrent.SubmissionPublisher$BufferedSubscription@172ba13e
16:59:12.114 ForkJoinPool.commonPool-worker-3 processor.subscribe: java.util.concurrent.SubmissionPublisher$BufferedSubscription@7457599e
16:59:34.627 ForkJoinPool.commonPool-worker-1 publisher.submit: path New Text Document (4).txt, action ENTRY_CREATE
16:59:34.627 ForkJoinPool.commonPool-worker-2 processor.next: path New Text Document (4).txt, action ENTRY_CREATE
16:59:37.499 ForkJoinPool.commonPool-worker-1 publisher.submit: path New Text Document (4).txt, action ENTRY_DELETE
16:59:37.500 ForkJoinPool.commonPool-worker-1 publisher.submit: path this.txt, action ENTRY_CREATE
16:59:37.500 ForkJoinPool.commonPool-worker-2 processor.next: path New Text Document (4).txt, action ENTRY_DELETE
16:59:37.500 ForkJoinPool.commonPool-worker-2 processor.next: path this.txt, action ENTRY_CREATE
16:59:40.282 ForkJoinPool.commonPool-worker-1 publisher.submit: path this.txt, action ENTRY_MODIFY
16:59:40.282 ForkJoinPool.commonPool-worker-6 processor.next: path this.txt, action ENTRY_MODIFY
16:59:44.769 ForkJoinPool.commonPool-worker-1 publisher.submit: path this.txt, action ENTRY_DELETE
16:59:44.769 ForkJoinPool.commonPool-worker-7 processor.next: path this.txt, action ENTRY_DELETE
16:59:53.848 ForkJoinPool.commonPool-worker-1 publisher.submit: path New DOCX Document.docx, action ENTRY_CREATE
16:59:53.848 ForkJoinPool.commonPool-worker-7 processor.next: path New DOCX Document.docx, action ENTRY_CREATE
16:59:56.476 ForkJoinPool.commonPool-worker-1 publisher.submit: path New DOCX Document.docx, action ENTRY_DELETE
16:59:56.476 ForkJoinPool.commonPool-worker-1 publisher.submit: path that.docx, action ENTRY_CREATE
16:59:56.476 ForkJoinPool.commonPool-worker-7 processor.next: path New DOCX Document.docx, action ENTRY_DELETE
16:59:56.476 ForkJoinPool.commonPool-worker-7 processor.next: path that.docx, action ENTRY_CREATE
16:59:57.917 ForkJoinPool.commonPool-worker-1 publisher.submit: path ~$that.docx, action ENTRY_CREATE
16:59:57.917 ForkJoinPool.commonPool-worker-7 processor.next: path ~$that.docx, action ENTRY_CREATE
16:59:57.917 ForkJoinPool.commonPool-worker-1 publisher.submit: path ~$that.docx, action ENTRY_MODIFY
16:59:57.917 ForkJoinPool.commonPool-worker-7 processor.next: path ~$that.docx, action ENTRY_MODIFY
16:59:59.943 ForkJoinPool.commonPool-worker-1 publisher.submit: path ~WRD0000.tmp, action ENTRY_CREATE
16:59:59.943 ForkJoinPool.commonPool-worker-7 processor.next: path ~WRD0000.tmp, action ENTRY_CREATE
16:59:59.957 ForkJoinPool.commonPool-worker-1 publisher.submit: path ~WRD0000.tmp, action ENTRY_MODIFY
16:59:59.957 ForkJoinPool.commonPool-worker-1 publisher.submit: path ~WRD0000.tmp, action ENTRY_MODIFY
16:59:59.958 ForkJoinPool.commonPool-worker-7 processor.next: path ~WRD0000.tmp, action ENTRY_MODIFY
16:59:59.958 ForkJoinPool.commonPool-worker-7 processor.next: path ~WRD0000.tmp, action ENTRY_MODIFY
16:59:59.965 ForkJoinPool.commonPool-worker-1 publisher.submit: path ~WRD0000.tmp, action ENTRY_MODIFY
16:59:59.965 ForkJoinPool.commonPool-worker-1 publisher.submit: path ~WRD0000.tmp, action ENTRY_MODIFY
16:59:59.965 ForkJoinPool.commonPool-worker-7 processor.next: path ~WRD0000.tmp, action ENTRY_MODIFY
16:59:59.965 ForkJoinPool.commonPool-worker-7 processor.next: path ~WRD0000.tmp, action ENTRY_MODIFY
16:59:59.966 ForkJoinPool.commonPool-worker-1 publisher.submit: path that.docx, action ENTRY_DELETE
16:59:59.966 ForkJoinPool.commonPool-worker-1 publisher.submit: path ~WRL0001.tmp, action ENTRY_CREATE
16:59:59.966 ForkJoinPool.commonPool-worker-7 processor.next: path that.docx, action ENTRY_DELETE
16:59:59.966 ForkJoinPool.commonPool-worker-7 processor.next: path ~WRL0001.tmp, action ENTRY_CREATE
16:59:59.966 ForkJoinPool.commonPool-worker-1 publisher.submit: path ~WRD0000.tmp, action ENTRY_DELETE
